,Fitness,all,run
4523,0.0,0.0,8
4651,0.0,0.0,8
4701,0.0,0.0,8
4800,-1.0,-1.0,8
4925,0.0,0.0,8
5000,-1.0,-1.0,8
5194,0.0,0.0,8
5293,0.0,0.0,8
5317,0.0,0.0,8
5445,0.0,0.0,8
5577,0.0,0.0,8
5642,0.0,0.0,8
5742,0.30103,0.30103,8
5800,-1.0,-1.0,8
5901,0.0,0.0,8
6031,0.30103,0.30103,8
6164,0.30103,0.30103,8
6206,0.0,0.0,8
6300,-1.0,-1.0,8
6412,0.0,0.0,8
6511,0.0,0.0,8
6600,-1.0,-1.0,8
6700,-1.0,-1.0,8
6800,-1.0,-1.0,8
6968,0.0,0.0,8
7000,-1.0,-1.0,8
7138,0.0,0.0,8
7216,0.0,0.0,8
7300,-1.0,-1.0,8
7415,0.0,0.0,8
7500,-1.0,-1.0,8
7606,0.30103,0.30103,8
7747,0.0,0.0,8
7808,0.0,0.0,8
7953,0.30103,0.30103,8
8038,0.30103,0.30103,8
8149,0.0,0.0,8
8200,-1.0,-1.0,8
8321,0.0,0.0,8
8400,-1.0,-1.0,8
8500,-1.0,-1.0,8
8600,-1.0,-1.0,8
8700,-1.0,-1.0,8
8829,0.0,0.0,8
8979,0.0,0.0,8
9015,0.0,0.0,8
9139,0.0,0.0,8
9234,0.0,0.0,8
9313,0.0,0.0,8
9416,0.0,0.0,8
9543,0.30103,0.30103,8
9654,0.0,0.0,8
9704,0.0,0.0,8
9810,0.0,0.0,8
9934,0.0,0.0,8
10000,-1.0,-1.0,8
0,0.0,0.0,9
101,0.0,0.0,9
258,0.0,0.0,9
315,0.0,0.0,9
423,0.0,0.0,9
584,0.0,0.0,9
620,0.0,0.0,9
700,-1.0,-1.0,9
845,0.0,0.0,9
900,-1.0,-1.0,9
1000,-1.0,-1.0,9
1100,-1.0,-1.0,9
1212,0.0,0.0,9
1300,-1.0,-1.0,9
1413,0.0,0.0,9
1506,0.0,0.0,9
1668,0.0,0.0,9
1702,0.0,0.0,9
1855,0.0,0.0,9
1993,0.0,0.0,9
2000,-1.0,-1.0,9
2124,0.30103,0.30103,9
2271,0.0,0.0,9
2311,0.0,0.0,9
2475,0.30103,0.30103,9
2597,0.4771213,0.4771213,9
2607,0.4771213,0.4771213,9
2724,0.0,0.0,9
2800,-1.0,-1.0,9
2923,0.0,0.0,9
3026,0.0,0.0,9
3105,0.0,0.0,9
3200,-1.0,-1.0,9
3313,0.0,0.0,9
3400,-1.0,-1.0,9
3500,-1.0,-1.0,9
3600,-1.0,-1.0,9
3700,-1.0,-1.0,9
3800,-1.0,-1.0,9
3900,-1.0,-1.0,9
4063,0.0,0.0,9
4166,0.0,0.0,9
4200,-1.0,-1.0,9
4324,0.0,0.0,9
4400,-1.0,-1.0,9
4500,-1.0,-1.0,9
4658,0.0,0.0,9
4708,0.0,0.0,9
4824,0.0,0.0,9
4909,0.30103,0.30103,9
5067,0.30103,0.30103,9
5100,-1.0,-1.0,9
5222,0.0,0.0,9
5340,0.30103,0.30103,9
5466,0.30103,0.30103,9
5500,-1.0,-1.0,9
5600,0.0,0.0,9
5786,0.30103,0.30103,9
5814,0.4771213,0.4771213,9
5919,0.4771213,0.4771213,9
6001,0.4771213,0.4771213,9
6164,0.60206,0.60206,9
6203,0.60206,0.60206,9
6312,0.60206,0.60206,9
6402,0.60206,0.60206,9
6500,0.60206,0.60206,9
6643,0.69897,0.69897,9
6711,0.69897,0.69897,9
6817,0.69897,0.69897,9
6903,0.69897,0.69897,9
7008,0.69897,0.69897,9
7115,0.69897,0.69897,9
7208,0.69897,0.69897,9
7304,0.69897,0.69897,9
7400,0.69897,0.69897,9
7511,0.69897,0.69897,9
7603,0.69897,0.69897,9
7700,0.69897,0.69897,9
7801,0.69897,0.69897,9
7900,0.69897,0.69897,9
8006,0.69897,0.69897,9
8100,0.69897,0.69897,9
8293,0.7781513,0.7781513,9
8300,0.69897,0.69897,9
8401,0.69897,0.69897,9
8507,0.7781513,0.7781513,9
8600,0.69897,0.69897,9
8700,0.69897,0.69897,9
8800,0.69897,0.69897,9
8929,0.7781513,0.7781513,9
9046,0.7781513,0.7781513,9
9114,0.7781513,0.7781513,9
9201,0.7781513,0.7781513,9
9339,0.7781513,0.7781513,9
9400,0.7781513,0.7781513,9
9531,0.7781513,0.7781513,9
9609,0.7781513,0.7781513,9
9720,0.7781513,0.7781513,9
9830,0.7781513,0.7781513,9
9918,0.7781513,0.7781513,9
10013,0.7781513,0.7781513,9
0,0.0,0.0,10
181,0.30103,0.30103,10
